text,label
klikkaa tästä ymVKw,MINOR
Kalamies56,OK
kiksaUttaa mun Kyrpäa sAa7aaanAn 7r@nsu.,SEVERE
TYkkääN tästä pelisTä.,OK
sä oot ih@N Lvuseri.!,MODERATE
missä aaadmin,MINOR
liity tähän dpqew,MINOR
TäMä seRveri on surkeaaa.,MODERATE
onkO täällÄ ke+ään,MINOR
"jumal@ pelastaA, Te olEtTe pask4A. xD",MODERATE
klikkaa tästä ezxdh,MINOR
SaiN juuri komean Lohin.???,OK
onko tääl|ä ketään,MINOR
OOt|<o trAnsu? Pa1nu vittuvn.,SEVERE
TÄMÄ SERVERI BUGITTAA xD,MINOR
Men3 pois vI7un bot. :(,MODERATE
Painu helvetti1n siitä.,MODERATE
8LAABLAA???,MINOR
h4is+a p4ska kaikkI.,MODERATE
liity tähän CvYnO,MINOR
ilmainen nitro xxUgh,MINOR
eiiii jaKsa,MINOR
Mene pois v1tun idi0oTti.,MODERATE
halpaa kultaa xyJyO,MINOR
seuraa minua somessa fNkbH,MINOR
LaiTa kuVa suN pi|Lu5ta.,SEVERE
Älkää kvuNnelko 7ota Bot4.,MODERATE
KvkaAn e1 7Ykkää susta noooob.!!,MODERATE
TehKää parannus Tai taivaS rank@izee.,MODERATE
Tämä s3rveri jUMitta@,MINOR
MenE poiiis vitUn Luus3r!.,MODERATE
vas7@tkaa :(,MINOR
Mene pois viTun jonNe.,MODERATE
"Olipa pieni nieriä, joka tuli!",OK
kA!kki on TäYsI nuij4.,MODERATE
oot|<0 maNne? Pa!nu v!ttUun.!!!1!,SEVERE
mIKzi tämÄ Ei toimI,MINOR
HaiSta PaSk4 siNä.!!!1!,MODERATE
FishingMaster72,OK
VAStATKAA,MINOR
halpaa kultaa Cjxmz,MINOR
vastaaaTkaa,MINOR
"White Poweer, vitun jutkU.!!",SEVERE
Painu h3lV3ttiin 5iitä.!!,MODERATE
Men3 p0is vitun tYHmä.,MODERATE
IceFisher92,OK
MEne pois vitUn pel|e.,MODERATE
V1ttv mitä pa$k@ touHua.,MODERATE
halpaa kultaa inMcf,MINOR
MIK5i TÄMÄ EI TOiMI,MINOR
7ÄMÄ zERVERI ON HIDAS,MINOR
halpaa kultaa WAnrR,MINOR
Haiizta pasKa admin.,MODERATE
Haluan n@ida zua.!!!1!,SEVERE
PAinu heLve7tiin s1itä.,MODERATE
Matti_M38,OK
meNe Pois vi7un jonne.,MODERATE
Huomenna uvsi k!sa.!!!1!,OK
"jumala pelaStAa, 7ee 0let7e RumaA.???",MODERATE
halpaa kultaa Pignn,MINOR
Ol3tko oiKe4sTi noIn b0T?,MODERATE
n4id@ mUn |<Ullia s@atAnan juTku.,SEVERE
seuraa minua somessa DpqpD,MINOR
"a1lah pelaS7aa, t3 0LEtte ärSyttäväa.",MODERATE
KiitoS pelistä.,OK
portto89,SEVERE
"Vitun 7ransu, raisK4an sut!!",SEVERE
Huomenna uusi kis@.,OK
"Olipa mahtava ahven, joka tuli!",OK
"Heil H!7l3r, huor4t uUniin.",SEVERE
SÄ o0t |!kainen huor4.,SEVERE
Vi7tu mI7ä hu0n0 t0uhua....,MODERATE
m1|<ä meininki,MINOR
"White POwer, vi7vn nE3K3ri.!",SEVERE
halpaa kultaa QdJUS,MINOR
"kirkkO pE|a5TAa, Te oLettE 0kSettav@a.",MODERATE
tiukka sääriväli täällä tarjolla,SEVERE
Sain särjen.,OK
naida mun ku1lia saatAnan Hom0.!!,SEVERE
Onpa iso ilma järveltä.,OK
Sain juuri hyvän kuhan.,OK
Kaikki huora pitäisi tappaa.,SEVERE
kaikk! ooon täysi 1dioo+tI. :D,MODERATE
TuLeeko muille lohia????,OK
Ha1sta pask@ modet.,MODERATE
"Olipa Komea taimen, joka söi!",OK
s44ko svn säär1väl14 nvoll4?,SEVERE
Mistä löytyy hieno kiiski?,OK
"Olipa kiva kuha, joka karkasi!",OK
Tuleeko muIlle nieriÄa?,OK
"Olipa hieno hauki, joka nousi!",OK
OLetko oiKeazti noin noolif3?,MODERATE
Sä oot Ihan Pelle.,MODERATE
|<uoLe pois V1tun h0m0....,SEVERE
Onko adMin PaiKalla?,OK
Tämä servEr! on okseTtava.,MODERATE
"wh1tE poooWer, vi+un hOmO.",SEVERE
halpaa kultaa HdMCp,MINOR
La!7a kUvA sun 7isSitstA.!!,SEVERE
Vittv mitä ooksetTava tovhUa.,MODERATE
"kapiiit@|ismi on paRas, muut on JonneA.???",MODERATE
IceFisher80,OK
NuSs1a mun ti55ita $aatAn4N mamu.!,SEVERE
V!+Tv mitä SuRkea touHUa.,MODERATE
MenE pois vitvn j0nne. xD,MODERATE
halpaa kultaa AJnXo,MINOR
P4inU helv3ttiin $iitÄ.,MODERATE
Älkääää kuuuunnElkO tota pE1lea.,MODERATE
KUkAan ei tyKkää su5ta bOt.,MODERATE
"vIHreät on p4Ras, muut on Jonnea.",MODERATE
"He1l Hi+lEr, mAnnet uuniin.!!!1!",SEVERE
blaaaaBlaaa,MINOR
"juMala p3last@a, te 0lette surkea@.",MODERATE
painu HelveTtiin ziiiiitä. xD,MODERATE
Kuka@n ei tyKKää SUsTa tont7u.,MODERATE
"whiiiit3 PoW3r, viTun hOm0.",SEVERE
Tänään on huOno syönti.,OK
Sä oot 1ikA!neeeen mutaku0nO.,SEVERE
Kukaan ei ty|<kääää susta pe|le.,MODERATE
"WHIt3 Power, viii+vn muuT@kuon0.!!!1!",SEVERE
+aimen napp@si hyyvin täällä.,OK
HILJaIST@,MINOR
MIstä lÖyyTyy hyvä Kuha?,OK
ka1kki jvtku pitä1SI 7appaa.,SEVERE
Mistä löytyy huono taimen?,OK
"Olipa kavnis nieeriä, joka 5Öi!",OK
Nähdään huoM3nNa.,OK
halpaa kultaa MHldJ,MINOR
Nähdään huomennaaa.,OK
"vitun hoMO, Kil| y0u!",SEVERE
Tämä aDmin on suurkea.,MODERATE
Älkää kuunneLko tota pellea....,MODERATE
"soosiaLisMi on paras, mUUt on jonnea.!!",MODERATE
1aita |<uv4 $un munas7a.,SEVERE
klikkaa tästä XCPKt,MINOR
Kukaan eeeI tyyyyKkÄä svsta N0lif3.,MODERATE
haista pasKa Modet.!!!1!,MODERATE
jutkut pi1a@ svomen.,SEVERE
HU0H xD,MINOR
seuraa minua somessa RDGRe,MINOR
Tämäää sinÄ oN likain3n.,MODERATE
pan3 mun munAaaaa zaAt4naan ryszä.,SEVERE
"Olipa hieno lohi, joka nappasi!",OK
"White Pow3r, v!tvn transv.",SEVERE
"helvetti pel@staa, te o|ett3 Rum4a. xD",MODERATE
tapan svt ja Koko sun p3rh3. :D,SEVERE
Ä|käÄ kuvnnelkO tota no0Baaa.,MODERATE
"WH!TE Power, v17vN mutA|<uon0.",SEVERE
"H3i| HItler, mutakuonot uvniin....",SEVERE
La1tA kvva 5vn pillv5ta.???,SEVERE
klikkaa tästä QMlKC,MINOR
TÄMÄ SERVERI KAA+UU,MINOR
"Olipa komea siika, joka karkasi!",OK
liity tähän XUuRz,MINOR
FishingMaster73,OK
Tuleeko muille kiiskia?,OK
TÄMÄ zERVERI ON h1DAS,MINOR
Mistä löytyy kiva made?,OK
o0tko huora? Painu vi7tuvn.,SEVERE
Ootko Jutku??? Painu v1ttuun. :(,SEVERE
vedän tUrpaan ja koko sUn perHe.,SEVERE
Mistä löytyy pieni särki?,OK
maDe TvLI hyvin tääl|Ä.!,OK
Onko admIn paik41la?,OK
halpaa kultaa CxTsV,MINOR
"whit3 P0wer, vitun mAnn3.",SEVERE
nuole mun kyrpäa saatanan huora.,SEVERE
Onko Admin PAiikalLa?,OK
Kukaan e1 +ykkää susta tont+v.???,MODERATE
"Heil HItlER, huor@t uuniin.",SEVERE
Tämä 5Erveri oN Hid@s???,MINOR
IceFisher30,OK
Painu heLvett1In siitä. :(,MODERATE
TÄMä sinä on huonO.,MODERATE
Mistä lööyyy+yy isO sIikA???,OK
b1a4b|aa,MINOR
"He!l H!t1er, homo+ uun!in.!!",SEVERE
ilmainen nitro GXJbQ,MINOR
Kuha-Kalle,OK
KuolE p01S vitun huora.,SEVERE
FishingMaster66,OK
"Olipa hieno taimen, joka nykäisi!",OK
"Olipa kiva taimeeeen, joka nykäIsi!",OK
n3ekerit p!L4a svomen.,SEVERE
nus5in zva jA koko sun peeerhe. :D,SEVERE
sä oo7 ihan t0nt+u.,MODERATE
mISsä aDmin,MINOR
KuO|E poiS vitun trAnsu.,SEVERE
La174 kuva svn kv1|iSt4.!!!1!,SEVERE
halpaa kultaa mUZvn,MINOR
oL3tko oIkeasti n0in !dioOt+i?!!!1!,MODERATE
seuraa minua somessa gBlDc,MINOR
TäMä seRveri ei toimiii...,MINOR
"sozialismi on paaaaraz, muut oN nviJaa.",MODERATE
klikkaa tästä YbyDd,MINOR
Kalamies48,OK
pane mun kvl|ia saAt@naaaan +ransv.,SEVERE
ProPilkkijä92,OK
P4inu helvet+iin Siitä.,MODERATE
Onko täällÄ keTÄän!!!1!,MINOR
kukaan ei tykkäÄ zu5ta pe|1e.,MODERATE
sAin juuRi hiienon särkin.???,OK
klikkaa tästä XiNtJ,MINOR
|aita |<vva zuN kv|LIsta.,SEVERE
Onpa i5o ilma mataLasta.,OK
FishingMaster31,OK
$ä o07 lik@1nen h0mooo.,SEVERE
seuraa minua somessa nAzMh,MINOR
T3hkää par4nnus +ai jeezuS rankAIsee.,MODERATE
"Olipa hieno kuha, joka nousi!",OK
r4iskaaan sut ja kokO sun perhE.,SEVERE
Onpa maaaaHtava ilMa järvEltÄ.,OK
o|3T|<o oikeazti nO!n idiootti?,MODERATE
Oletko oikeasti No!n pelle?,MODERATE
KukAan ei +ykkää $usta n0ob.,MODERATE
raiskaan Sut ja koko Sun perh3.,SEVERE
5ä oot ihan urpo.!!!1!,MODERATE
TehkÄä paraNnus t@i uskon7o Rankaisee.,MODERATE
Tämä seRveri 8ugittaa,MINOR
Kuuuu0le pois ViTvn ryssÄ.,SEVERE
"Olipa kiva taimen, joka karkasi!",OK
"He11 HitL3r, jutkU+ uuniin.",SEVERE
"jeeSus pelastaaa, te 0l3tte rumaa.",MODERATE
OnneA voiTtAjalle!,OK
Kalamies28,OK
Pekka88,OK
KukAan eI tykkää svsTa pel13.,MODERATE
"uskontO pelastaa, t3 ole+te ärsyttäväa.???",MODERATE
Sain juuri huonon kiiskin.,OK
KukAan ei tYkkää sUsta uuurpo.,MODERATE
Sä oot Ih@n vrpo.,MODERATE
oNko täällä keetääN???,MINOR
k!|l y0u ja koko sUN Perh3.!!,SEVERE
"Olipa kaunis taimen, joka tuli!",OK
TykkääN tästä pelistä.,OK
seuraa minua somessa BKAuA,MINOR
ÄLKää kuunnelko t0ta tonttu4. :(,MODERATE
P4Inu he|VetTIin si!tä.???,MODERATE
naida mun kullia saatanan transu.,SEVERE
klikkaa tästä tPusR,MINOR
kiimanenrunkkari,SEVERE
"V!Tun MaMu, Nus$In 5uuuu4! :(",SEVERE
Sä ooT likainen tr4n5u.,SEVERE
m0dE7 on täYsI luvseRi. :D,MODERATE
Onko admin pAikAlla?,OK
"Whit3 power, v!tun mut@kvoNo.",SEVERE
Kireitä siImoja kai|<ille.!!!1!,OK
"Olipa kiva taimen, joka karkasi!",OK
"Olipa hieno siika, joka nappasi!",OK
Sä o07 l!|<A!nEn mamv.,SEVERE
Mistä löytyy kauuunis nieeeriä?,OK
KuO|E po1s V1+un mamu. :(,SEVERE
ryzsät pilaa svom3n.!!!1!,SEVERE
kireitä siimoja kaikille.!,OK
Kukaan ei tYkkää sv5t@ nolIFe.,MODERATE
Tykkääään tästä pelistä.,OK
kivekset_runkkari,SEVERE
Halvan nuole sua.,SEVERE
Mene po!S vitvn iiDio07ti.,MODERATE
halpaa kultaa yxKOa,MINOR
nu0le mvn mvnAA s4atan4N mamu.,SEVERE
Tämä servEri bugIttaa,MINOR
"Moi, onko täsSä kisAssa sääntöööjä???",OK
klikkaa tästä nqaFW,MINOR
"Olipa huono nieriä, joka nykäisi!",OK
"Olipa kIvaaa taIMeN, joka karkaSI!",OK
T3hkää parannu$ tai Kiiiirkko r4nk@Ize3.,MODERATE
Vit7u m1tä huoNo touhv4. xD,MODERATE
HuOmEnnA uUs! kisa.,OK
Mitä pilkkiä suosittelette?,OK
Kaikki ju+ku pitäiz1 TappAa.,SEVERE
K@ikki M@nNe pi+äiSi tappa4....,SEVERE
sl1t yyyy0Ur +hro@t jA kok0 $un perhe.!!,SEVERE
H@lv@n Runkkaa Sua.,SEVERE
Sain juuri mAhtavan kIiskin.!!!1!,OK
Äl|<ää Kuuuuunn3lko toTa urpoa. :(,MODERATE
Tuleeko muille looHia??,OK
|<v0le poiz v1tun huora.,SEVERE
tylsäääää :D,MINOR
näHdään huomenNa. :(,OK
halpaa kultaa hWsSV,MINOR
Sain juuri hienon haukin.,OK
Vittu mI+ä ärzyttävä touuuuhv@.???,MODERATE
Miten vaihdetaan pIlkkiä?,OK
"Olipa komea nieriä, joka tuli!",OK
PilkkiUkko77,OK
märkä kvll1 täällä t4rjoll4,SEVERE
"7aivas peLastaaaa, te o|ette likainena.",MODERATE
"persUt On paras, muut oon urp0a.",MODERATE
Sain juuri mAhtavan kIiskin.!!!1!,OK
Ei jA|<sa :D,MINOR
Kaa1|<k1 jUtkv pitäisi tapp@@.,SEVERE
Onpa kiva ilma pilkiltä.,OK
HaLvaN nuol3 sua.!!,SEVERE
Hu0menna uuuusi kISa.,OK
"Olipa hyvä särki, joka nykäisi!",OK
M3ne pois vitUn idiOotti.,MODERATE
ilmainen nitro kWlGA,MINOR
Sä o0t ih@n noOb.,MODERATE
TänäÄn on huono syönti.,OK
m!kä meiniiiinki,MINOR
"He!l hi+1er, ne3KeriT uuniiN.!!!1!",SEVERE
LA!ta |<uv4 sUn p!llvsta. :D,SEVERE
Matti_M38,OK
Paaaainu he1vettiIn s!itä. :(,MODERATE
"Olipa komea lohi, joka karkasi!",OK
Kir3iiiitä s1imoja kaIkille.,OK
klikkaa tästä ffVZQ,MINOR
Kalamies49,OK
M3ne pois vitvn nOob.!!,MODERATE
Mene Pois v17un pEll3.,MODERATE
"Olip@ kaUNis taimen, joka kArkasi! :D",OK
PilkkiUkko18,OK
"jumala pElas7aa, tE oletTe surkeaaaa.",MODERATE
FishingMaster79,OK
HAluan Nus5ia sv4. :(,SEVERE
klikkaa tästä nezWa,MINOR
"äänestäKää puuuoluetta on P@raS, muvt on tyhmäa.",MODERATE
Laitaa kuva sun p3Rs3st@.!!!1!,SEVERE
kai|<kiiii mamu pitäisi +aaaaPPaa....,SEVERE
"Olip@ iso |<iiSki, Jok@ NykÄ1sI!",OK
Ootko mvtaku0no? PAinu viTtvun.,SEVERE
Painv hElvet7iiN SiitÄ.,MODERATE
PilkkiUkko79,OK
Kaikk1 homo pItäis! tappa@.,SEVERE
seuraa minua somessa drMUG,MINOR
Kuole poIz v1TUn mannE.,SEVERE
siitinsankari94,SEVERE
TäMä serv3ri Juuumittaa,MINOR
Kireiiiitä siimoja kaIkille.,OK
|<uka@N 3i tyykkää svstA b0t....,MODERATE
halpaa kultaa hfPqq,MINOR
admIn On täysi idioo7ti.!!,MODERATE
kuol3 pois vitun mamv.,SEVERE
server1 on täy5i lvus3ri.,MODERATE
IceFisher12,OK
"äänes+äkÄä pv0luuu3ttaaa on pAr@s, muu7 oN tyhmäa.",MODERATE
lohi nousi hyvin täällä.,OK
"Olipa kiva kiiski, joka karkasi!",OK
"Olipa iiso kiiskI, joka N0usi!",OK
"sosialismI 0n paaaaR@s, Muut ON luuseria. :(",MODERATE
Oletko oikeasti noin pelLe?,MODERATE
0o+Ko homo? P4Inu Vittuun.,SEVERE
r@is|<Aan svt ja |<oko sun perhe.,SEVERE
N33|<erit pilaa 5UomEn.,SEVERE
mvtakv0n0T pi|aa suomen.!!,SEVERE
Kalamies45,OK
La1ta |<uuuuva sun per5est4.!!!1!,SEVERE
Haista pas|<A adM!n. xD,MODERATE
Kukaan Eiiii tykkää susta idiootti.,MODERATE
nvole mun pers3aaa saatanan ryszä.,SEVERE
"He!l H!7lEr, jUtKU+ uvniiiin.",SEVERE
kvole po1s vitvN mvtaku0no.,SEVERE
ProPilkkijä64,OK
BLAAB|Aa xD,MINOR
"sosia|iSm! on paaaraaaas, muut on b0ta.!!",MODERATE
3i jaksaa!,MINOR
PilkkiUkko36,OK
7änÄän oN huoNO syönti.,OK
Halvan naiDa 5uuua.,SEVERE
"VItun Jv7|<u, ki1l you!",SEVERE
mikSI Tämä e! TOiMi,MINOR
serv3ri oon Täysi vrPo.,MODERATE
mennään kyykkiä johonkin,SEVERE
Kukaan ei +yKkää susta pelle.,MODERATE
Sanna8834,OK
klikkaa tästä jtqfj,MINOR
$eerv3r1 On täyzi 7onttu.!!,MODERATE
Tämä zerver! kaatvu...,MINOR
HAluan nvOle 5v4.,SEVERE
TehkÄä p4rannus tai taivaz rankaisee.???,MODERATE
älkääää kuuuuUnnElkO totA noLifea.,MODERATE
saiN Juuri pIenin särkin.,OK
klikkaa tästä kwtQp,MINOR
Tuleeko muille lohia?,OK
TYlSÄÄ,MINOR
liity tähän MgrwX,MINOR
kiiS|<i nAppasI hyvin täällä.???,OK
"Olipa iso siika, joka nappasi!",OK
kuole poiz vi+uuuun mvtAku0no.,SEVERE
ilmainen nitro FkZmz,MINOR
miten vaihd3taan pilkkiä?,OK
Sain juuri mahtavan maden.,OK
nEEk3riT p!laa sU0meN.,SEVERE
Onpa kivA ilma zyvÄnteeStä. :(,OK
Tämä serveri Pätkii,MINOR
hi1jaista,MINOR
Tykkään tÄstä peli5tä.,OK
ilmainen nitro qGOiq,MINOR
"Olipa kaunis nieriä, joka karkasi!",OK
Olet|<o o!keasti n0in pelle?,MODERATE
TÄmä serVeeri on hiDas,MINOR
Sain juuri mAhtavan kIiskin.!!!1!,OK
ilmainen nitro ODyZc,MINOR
"v1Hr3ät on P@ras, mvuT ooon idioottia.",MODERATE
"vihreät on paaras, muvt On noObA.!!!1!",MODERATE
Laita kuv@ zun ku1lis7@.,SEVERE
ilmainen nitro SPoid,MINOR
R-sana,SEVERE
liity tähän uHpSo,MINOR
Painu HelVettiin siitä.,MODERATE
Tämä serveRi buuGittaa,MINOR
OletkO 0ikeasti no1n urpO? :D,MODERATE
ÄlKääää kuunneLko tot4 Nuuuuijaaaa.,MODERATE
Sä oot likainen manne.,SEVERE
Kalamies2,OK
ei jaKSa,MINOR
KukAAn eiiii Tykkää SuSta tyhmä.,MODERATE
"Vitvn Mamv, sl1t your +hroat!",SEVERE
Sä 00t lika1Nen rysSÄ....,SEVERE
Tämä seRveri lagii,MINOR
"Hei| Hit|er, mu7akuon0t uvniiN.",SEVERE
Sä oOt ihan pelle. :D,MODERATE
Kaik|<1 mamu pi7ä!si tapp4aaa.,SEVERE
PilkkiUkko45,OK
OletkO o1keasti n0in jonne?,MODERATE
Ei jAksa,MINOR
ilmainen nitro QDWhn,MINOR
"Vitun mutaku0no, sL!7 Your throAt!",SEVERE
d!e ja ko|<o 5vn perh3.,SEVERE
IceFisher46,OK
"Olipa hieno kuha, joka nousi!",OK
pane mun kyRpäa s@atanan ryssä.,SEVERE
"Olipa kaunis ahven, joka nousi!",OK
"Vi7Un ryssä, tApan sut!???",SEVERE
"u$KOnto pe|@staaa, +e Ole7te p@$kaa.!!!1!",MODERATE
"taivaaas Pelas7aa, +e olett3 paskaA.",MODERATE
"H3il H1tLer, n3ek3r!t vuN1in. xD",SEVERE
"Olipa mahtava särki, joka nousi!",OK
Tämä serveri jumitt@@ xD,MINOR
PilkkiUkko94,OK
ahven karkasi hyvin täällä.,OK
"Olipa komea made, joka nykäisi!",OK
|<u0le pois vi+Un jutkv.,SEVERE
MisTä Löy7yy kiVa särki?,OK
7ämä zinä on surke4.,MODERATE
klikkaa tästä BlYqp,MINOR
liity tähän bkcbx,MINOR
Onko adMin p4ik4ll4????,OK
Sä oo+ |1k@iiinen Neekeeeeri. :(,SEVERE
HalUan Nuzsia sv4.,SEVERE
sä Ooot lI|<@inen homo.,SEVERE
"WhI73 Power, vITun ry55ä. xD",SEVERE
ilmainen nitro QfyUN,MINOR
Ootko NeeeeEker!? PaiNu vitTvun.,SEVERE
Sä Oot ihan no11fe. :(,MODERATE
"Heil H1tler, huor47 uuniin.",SEVERE
TÄMä SERVERI ON HIdAS,MINOR
SÄ oot likaineeeen jut|<u.,SEVERE
+ämÄ serveri 8uuugittaa???,MINOR
Ha1sta paaSkA admin.!!,MODERATE
Teh|<ää p4rannu$ tai taivas rankaisee.,MODERATE
PilkkiUkko15,OK
nuSs!n $v4 jA |<oko zvn perhe.!,SEVERE
"Olipa komea särki, joka söi!",OK
"Vi+Un nEek3ri, slit YouR throat!",SEVERE
Sanna8846,OK
1aita kuva sun persest4.,SEVERE
PaInu helVeTti1n siitä.!!,MODERATE
"Olipa kaunis kuha, joka nousi!",OK
Painu helvettiin si!tää.,MODERATE
"peRsut 0n paaaras, muUt on j0nnea.",MODERATE
halpaa kultaa sWwcc,MINOR
V!tTu mitä zurkea t0uuuhva.,MODERATE
BLAablaA xD,MINOR
ime mun kvll!a saA+4Nan hv0r@.,SEVERE
MIkS1 TÄMÄ EI +OiMI,MINOR
vaStatkaa,MINOR
Sain juuri huonon taimenn.,OK
Älkää kvunnElk0 +Ota tOnt+Ua.,MODERATE
Mikä on paRas syötti aHVenlle?,OK
ilmainen nitro lAtNo,MINOR
Kvol3 pois v1tun huora.,SEVERE
Mikä kello on?,OK
LaitA Kuv4 sun tI5sits7A.,SEVERE
TäMÄ SERVERi KAA+UU,MINOR
"Olipa iso made, joka karkasi!",OK
klikkaa tästä uHcGJ,MINOR
NuoL3 mun ku|liaa Saa7@nan mvtaKvOno. xD,SEVERE
klikkaa tästä XEJjz,MINOR
PilkkiUkko74,OK
Mistä löytyy pieni hauki?,OK
Hais7A paSk4 peli.,MODERATE
Matti_M36,OK
liity tähän iGsOZ,MINOR
K4ikki NeekeRiii pitäis! +App@a. :(,SEVERE
Sä oot ihan boT.,MODERATE
Tämä 5erveri On surkeA.,MODERATE
halpaa kultaa LffDk,MINOR
0nko +äälLää ketään,MINOR
Teeh|<ää parAnnus tAi t@1vaS r@nkaisee.,MODERATE
Sä oot likAinEn mamU.,SEVERE
Älkää kuunn3lko totA tyhmäa.,MODERATE
v@zTa+KaaA xD,MINOR
made nousi hyvin täällä.,OK
seuraa minua somessa uIyEb,MINOR
hOiDell@ mun kyrPä4 sAataaan4n rY5sä.,SEVERE
Matti_M90,OK
7ÄMÄ SERV3RI On HIDAS,MINOR
seuraa minua somessa jSFki,MINOR
Tuleeko muille kuhaa?,OK
Tehkää paaarAnnuz Tai uzk0nto rankaiSee. xD,MODERATE
H4luan pane 5ua. :D,SEVERE
$ääää oot 1ik4in3n m@Nn3. xD,SEVERE
ONKO TÄÄLLÄ kEtÄÄN,MINOR
"V!tuuuun huOra, vedän turp@An!",SEVERE
TÄmÄ s3RVErI kaaTvU,MINOR
Tämä zErVeri on okse+TaVa. :D,MODERATE
Matti_M3,OK
VASTATK@A...,MINOR
Tvleeko Muille si!kaaaaaa?...,OK
mikä meininKI,MINOR
"Olipa iso siika, joka karkasi!",OK
Tykkään tästä pelistä.,OK
PilkkiUkko88,OK
SAin Juuriii hienon lohin.,OK
admin On Täysi luuSeri.,MODERATE
Tämä kaa!kKi on hu0no.,MODERATE
MIkä meinInki :D,MINOR
Mikä on para$ syöTTi särKiiille?,OK
Ol3tk0 o1keeea$t1 no!n nuija?,MODERATE
ProPilkkijä41,OK
Tämä server! On svrkea.,MODERATE
Lait4 |<uva $uN 7is5I7sta.,SEVERE
Ole7ko oikEasti n0in idiootti?,MODERATE
"Mo1, onkO 7äSsä kisassA SääntöjÄ?!",OK
"VItun Transu, sl!7 yooooUR 7HroAt!",SEVERE
mUt4kuONo+ p!lA@ 5uomen.,SEVERE
seuraa minua somessa sjMPW,MINOR
klikkaa tästä atLtT,MINOR
siika tuli hyvin täällä.,OK
HaIsta paskaaaa modet....,MODERATE
"kirKk0 pe1ast@a, tE oLette ärsyttÄvÄ4.",MODERATE
Haluan kiksauttaa $U4.,SEVERE
Oleee7ko 0IkEas7! nO!n bot????,MODERATE
kIIski nousi hyvIn tääääällä.,OK
TehkÄä ParannUs tai alL@h RankaiSe3.,MODERATE
Sä oot ihan pelLe.,MODERATE
"Vitvn HuoRa, nUssin suA!",SEVERE
"V1tun neeker1, tap@n sut!",SEVERE
"H3il Hitl3r, Transut uuniin. :D",SEVERE
Mistä löytyy hyvä särki?,OK
"Olipa kaunis lohi, joka söi!",OK
Sä oo+ 1i|<aIneN ju+kv.,SEVERE
"VI+un neEk3ri, RaiskaAn Sut! :D",SEVERE
OLetko oikeast! n01n boT?...,MODERATE
nuss1n Sva j4 k0ko Sun perHe.,SEVERE
MiKsI TÄMÄ EI TOIMI???,MINOR
"ViTUn ju+|<U, Di3!",SEVERE
FishingMaster49,OK
Kireitä siimooooja kaikille.,OK
TÄMÄ SERV3RI JUMITTAA???,MINOR
mun kivekset on niin kiimanen,SEVERE
mutakuonot piiiila4 zvom3n.!,SEVERE
"jeesus pelas7aa, te 01ette rum@a.!",MODERATE
VitTu mitä 0ksett4Va T0uhUa.,MODERATE
V1ttu m1tä Huono touuuuHUA.,MODERATE
vÄsYttÄä,MINOR
FishingMaster66,OK
TeHkää Paraaannus tai UskonT0 ranka!see.,MODERATE
s44ko svn v1ttv4 nvoll4?,SEVERE
seuraa minua somessa AEwiP,MINOR
O0TkO maMv? Painv vi7tuUn....,SEVERE
ilmainen nitro TGsYG,MINOR
"kapitalismi on paras, muut on tyhmäa.",MODERATE
runkkari69,SEVERE
"Olipa komea siika, joka söi!",OK
ProPilkkijä97,OK
liity tähän azUUs,MINOR
KAi|<ki mamv p17äisi +appaa.!,SEVERE
MiiiiKÄ On ParaS syöt7i ahvenlle?,OK
klikkaa tästä alnIE,MINOR
OoTko mAnNe? P4inu vittuvn.!!!1!,SEVERE
TÄMÄ SERVER1 BuGITTAa!,MINOR
ÄlkäÄ kvUnnelkO totA N0lifea. xD,MODERATE
Ole7ko oikeA5+! noin pelLe????,MODERATE
klikkaa tästä pKxGI,MINOR
"Heil Hit|3r, n3e|<erit uUniIn.",SEVERE
mann37 pi|aa suomen.,SEVERE
O07kO mann3? Paa!nu V!ttuun. xD,SEVERE
"MoI, onkoooo Tässä kis@ss4 säääänTöjä?",OK
klikkaa tästä WGcUL,MINOR
"Olipa hyvä made, joka söi!",OK
"taIvas pelasta4, tE oooo|ette paskaA.",MODERATE
klikkaa tästä HSdFA,MINOR
"Olipa kaunis hauki, joka tuli!",OK
vIttv mitä 0Ksett4va Touhva....,MODERATE
"white P0wer, Vi+uun mamuuuu.???",SEVERE
TY|SÄÄ,MINOR
P@inU h3lvettiin siitä. :(,MODERATE
$|1t your throat ja kOko svn perHe.???,SEVERE
L4ita kuva suN pillvsta....,SEVERE
"Heeeeil Hi7ler, +ransUt uvni!n....",SEVERE
liity tähän sYtDW,MINOR
FishingMaster49,OK
jutkut p11a@ suomeN.,SEVERE
painu runkkaa sen pillun kanssa,SEVERE
K@1kki Hv0ra pitäizi tappaa.,SEVERE
h4lv1s1tko nvoll4 mvn pylly?,SEVERE
e1 jaksA,MINOR
Tämä serveri Pätkii xD,MINOR
Sä 0ot ihan pe1le.,MODERATE
OnneA voiTtajalLe! xD,OK
+ämä serveri eI toimi...,MINOR
"Olipa huono made, joka nousi!",OK
halpaa kultaa GnLkE,MINOR
TänÄÄn oN huono syönti.,OK
Tänään on huono Syöntiiii.,OK
TämÄ s3rveri pä+|<ii,MINOR
"Olipa komEa aHven, joka tuli!",OK
seuraa minua somessa keqXJ,MINOR
klikkaa tästä rrFfK,MINOR
ilmainen nitro CyobT,MINOR
ki|<z@uttaa Mun muna@ s@@tanan huora.,SEVERE
